"","player","salaries","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"268","Steven Adams",2279040,"C",84,255,80,261,426,114,196,533,62,42,89,84,223,636,"OKC"
"269","Nick Collison",3750000,"PF",82,255,59,50,109,23,33,171,52,15,16,50,107,123,"OKC"
"270","Kevin Durant",20158622,"SF",81,240,72,698,1381,447,498,589,361,69,85,250,137,2029,"OKC"
"271","Randy Foye",3270000,"SG",76,213,27,52,149,22,27,51,49,13,13,28,48,151,"OKC"
"272","Josh Huestis",1140240,"PF",79,230,5,5,12,0,4,10,0,1,2,3,3,14,"OKC"
"273","Serge Ibaka",12350000,"PF",82,235,78,416,869,91,121,533,66,38,148,108,211,983,"OKC"
"274","Enes Kanter",16400000,"C",83,245,82,414,719,200,251,664,33,26,33,115,166,1038,"OKC"
"275","Mitch McGary",1463040,"PF",82,255,20,11,23,4,10,18,3,1,2,7,10,26,"OKC"
"276","Nazr Mohammed",352750,"C",82,221,5,3,5,2,2,4,0,0,0,3,4,8,"OKC"
"277","Anthony Morrow",3344000,"SG",77,210,68,136,333,29,39,62,24,22,5,17,64,380,"OKC"
"278","Cameron Payne",2021520,"PG",75,185,57,114,278,19,24,85,108,36,6,44,80,283,"OKC"
"279","Andre Roberson",1210800,"SG",79,210,70,136,274,33,54,251,47,53,42,35,133,337,"OKC"
"280","Kyle Singler",5e+06,"SF",80,228,68,86,221,29,44,141,24,30,9,32,120,231,"OKC"
"281","Dion Waiters",5138430,"SG",76,225,78,282,706,112,157,202,154,81,15,120,143,762,"OKC"
"282","Russell Westbrook",16744218,"PG",75,200,80,656,1444,465,573,626,834,163,20,342,200,1878,"OKC"
"283","Cole Aldrich",1100600,"C",83,250,60,134,225,60,84,288,50,47,68,64,139,328,"LAC"
"284","Jeff Ayres",317232,"C",81,240,17,12,23,6,6,22,5,0,3,6,18,30,"LAC"
"285","Jamal Crawford",5675000,"SG",77,200,79,379,939,245,271,145,183,52,12,113,122,1120,"LAC"
"286","Branden Dawson",525093,"PF",78,225,6,2,5,1,1,4,0,0,1,0,2,5,"LAC"
"287","Jeff Green",9200000,"SF",81,235,27,114,267,40,65,91,40,18,21,24,62,293,"LAC"
"288","Blake Griffin",18907725,"PF",82,251,35,301,603,141,194,294,170,28,17,83,95,749,"LAC"
"289","Wesley Johnson",1100600,"SF",79,215,80,208,515,30,46,248,49,89,56,54,173,549,"LAC"
"290","DeAndre Jordan",19500000,"C",83,265,77,357,508,266,619,1059,90,51,177,107,207,980,"LAC"
"291","Luc Mbah a Moute",1270964,"PF",80,230,75,94,207,30,57,171,30,44,19,34,100,231,"LAC"
"292","Chris Paul",21468696,"PG",72,175,74,515,1114,294,328,310,738,152,13,194,185,1446,"LAC"
"293","Paul Pierce",3400000,"SF",79,235,68,144,397,54,66,186,71,33,17,58,129,417,"LAC"
"294","Pablo Prigioni",981348,"PG",75,185,59,55,147,7,8,114,130,53,1,49,82,145,"LAC"
"295","J.J. Redick",6867000,"SG",76,190,75,422,880,182,205,139,106,42,5,78,135,1226,"LAC"
"296","Austin Rivers",3100000,"SG",76,200,67,226,516,79,116,130,99,48,9,61,137,593,"LAC"
"297","Alex Stepheson",61776,"PF",82,270,4,1,1,0,2,2,0,0,2,0,4,2,"LAC"
"298","C.J. Wilcox",1159680,"SG",77,195,23,26,66,9,12,12,10,10,2,2,15,70,"LAC"
"299","Cliff Alexander",525093,"PF",80,245,8,5,10,0,0,6,0,1,2,1,1,10,"POR"
"300","Al-Farouq Aminu",7500000,"SF",81,220,82,299,719,115,156,499,138,72,53,120,171,839,"POR"
"301","Pat Connaughton",525093,"SG",77,206,34,13,49,5,5,32,10,2,0,10,6,36,"POR"
"302","Allen Crabbe",947276,"SG",78,210,81,311,678,98,113,216,99,63,16,64,192,832,"POR"
"303","Ed Davis",7e+06,"PF",82,240,81,206,337,114,204,599,88,57,72,64,202,526,"POR"
"304","Tim Frazier",845059,"PG",73,170,35,20,60,8,15,39,42,10,1,27,31,51,"POR"
"305","Maurice Harkless",2894059,"SF",81,215,78,195,411,69,111,280,67,49,35,62,124,498,"POR"
"306","Gerald Henderson",6e+06,"SG",77,215,72,232,529,112,146,211,75,39,19,68,87,624,"POR"
"307","Chris Kaman",5e+06,"C",84,265,16,20,43,3,3,24,11,1,1,8,15,44,"POR"
"308","Meyers Leonard",3075880,"PF",85,245,61,195,435,35,46,314,92,8,18,77,183,511,"POR"
"309","Damian Lillard",4236287,"PG",75,195,75,618,1474,414,464,302,512,65,28,242,165,1879,"POR"
"310","C.J. McCollum",2525160,"SG",76,200,80,641,1431,187,226,259,341,97,23,196,187,1666,"POR"
"311","Luis Montero",525093,"SG",79,185,12,5,19,3,4,4,1,0,0,4,1,14,"POR"
"312","Mason Plumlee",1415520,"C",83,245,82,267,517,215,335,628,226,68,85,154,253,749,"POR"
