"player","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV","G","EFF","salaries","position"
"Jared Sullinger",834,673,187,75,47,455,58,102,81,0.0291855188415214,2269260,"PF"
"Isaiah Thomas",1823,243,509,91,9,791,70,220,82,0.0305056593914952,6912869,"PG"
"Evan Turner",854,397,359,80,28,410,31,169,81,0.0226715655531637,3425510,"SG"
"James Young",29,26,9,6,1,25,3,5,29,0.00208516215599176,1749840,"SG"
"Tyler Zeller",364,178,29,10,22,152,20,46,60,0.0123256975088762,2616975,"C"
"Nicolas Batum",1046,428,403,65,43,501,29,205,70,0.0294678256944437,12235750,"SF"
"Troy Daniels",242,57,21,11,3,98,4,24,43,0.00835176318785339,947276,"SG"
"Jorge Gutierrez",22,7,17,3,0,5,1,6,12,0.00470268334996971,301444,"PG"
"Tyler Hansbrough",104,89,8,12,7,39,27,12,44,0.00666888628458554,1185784,"PF"
"Aaron Harrison",18,15,2,6,0,14,7,4,21,0.00124693659714025,525093,"SG"
"Spencer Hawes",340,244,109,22,27,182,11,58,57,0.0166382720921764,5543725,"PF"
"Al Jefferson",562,301,70,30,41,260,39,34,47,0.0271053401089852,13833333,"C"
"Frank Kaminsky",606,335,98,38,43,310,40,58,81,0.0165757277471021,2612500,"C"
"Michael Kidd-Gilchrist",89,45,9,3,3,28,9,8,7,0.0252770385408732,6331404,"SF"
"Jeremy Lamb",580,252,77,42,30,280,24,50,66,0.0158498269844417,3034356,"SG"
"Courtney Lee",250,87,60,33,12,122,3,23,28,0.0174272520451854,5675000,"SG"
"Jeremy Lin",914,253,235,58,42,428,54,150,78,0.0188084569994756,2100000,"SG"
"Kemba Walker",1689,357,421,126,39,763,67,171,81,0.0311368087611067,1.2e+07,"PG"
"Marvin Williams",948,521,110,58,77,409,24,62,81,0.030036879648224,7e+06,"PF"
"Cody Zeller",638,455,71,57,63,206,57,68,73,0.0245853366111612,4204200,"C"
"Lavoy Allen",428,424,76,26,42,179,27,69,79,0.0181059904623229,3700000,"PF"
"Chase Budinger",216,121,49,29,9,113,14,31,49,0.00892419107596861,5e+06,"SF"
"Rakeem Christmas",4,1,0,0,0,0,0,0,1,0.0104863590511961,1e+06,"PF"
"Monta Ellis",1121,271,383,150,37,585,44,203,81,0.023301600537524,10300000,"SG"
"Paul George",1874,563,329,152,29,844,74,265,81,0.0367592003239376,17120106,"SF"
"George Hill",894,298,259,83,17,413,36,101,74,0.020716541124778,8e+06,"PG"
"Jordan Hill",645,451,87,36,37,271,36,92,73,0.0221316879021834,4e+06,"C"
"Solomon Hill",246,166,57,37,11,115,6,33,59,0.0100747578232375,1358880,"SF"
"Ty Lawson",64,31,57,10,1,39,3,13,13,0.0123497704706605,265058,"PG"
"Ian Mahinmi",660,507,104,65,75,184,93,100,71,0.0274272329961167,4e+06,"C"
"C.J. Miles",753,175,63,53,29,375,31,70,64,0.0157820014378296,4394225,"SF"
"Glenn Robinson",171,68,26,17,9,86,12,18,45,0.00646024185352926,845000,"SF"
"Rodney Stuckey",517,156,142,43,8,260,27,76,58,0.013334994557181,6500000,"PG"
"Myles Turner",619,332,41,25,86,266,33,67,60,0.0232235587669962,2357760,"C"
"Shayne Whittington",11,12,3,1,1,6,1,5,7,0.00448592419440227,845059,"PF"
"Joel Anthony",18,21,1,2,12,4,2,2,19,0.00435721253220623,2500000,"C"
"Aron Baynes",514,384,51,21,52,190,39,67,81,0.0169412398266136,6500000,"C"
"Steve Blake",254,89,200,24,5,147,4,81,58,0.00873561584332753,2170465,"PG"
"Reggie Bullock",122,68,27,10,2,55,1,8,37,0.00741944802721688,1252440,"SF"
"Kentavious Caldwell-Pope",1105,282,138,110,17,557,43,105,76,0.0212056004810191,2891760,"SG"
"Spencer Dinwiddie",58,17,22,3,0,35,14,7,12,0.00581791246291768,845059,"PG"
"Andre Drummond",1314,1198,67,119,112,508,378,155,81,0.0432793673656555,3272091,"C"
"Justin Harper",13,1,0,1,0,6,1,2,5,0.0026808535962793,99418,"PF"
"Tobias Harris",447,168,70,18,12,182,8,30,27,0.0367672963949974,1.6e+07,"PF"
"Darrun Hilliard",152,45,27,9,1,79,11,19,38,0.00562984058575264,525093,"SG"
"Reggie Jackson",1489,253,492,59,11,704,46,223,79,0.0262008367406603,1.4e+07,"PG"
"Stanley Johnson",593,306,118,55,12,375,22,114,73,0.0129425726499012,2841960,"SF"
"Jodie Meeks",22,5,3,0,0,13,0,1,3,0.00916330945304909,6270000,"SG"
"Marcus Morris",1131,404,201,67,23,535,68,140,80,0.022865334956263,5e+06,"SF"
"Anthony Tolliver",383,229,52,26,16,204,18,28,72,0.0126595300216587,3e+06,"PF"
"Cameron Bairstow",34,28,6,2,3,27,1,4,18,0.00423363413791321,845059,"C"
"Aaron Brooks",491,101,180,30,10,281,15,82,69,0.009612037738714,2e+06,"PG"
"Jimmy Butler",1399,358,321,110,43,565,80,132,67,0.0368921163618824,15260000,"SG"
"Mike Dunleavy",222,83,39,14,10,111,8,26,31,0.0119907018901282,4500000,"SF"
"Cristiano Felicio",105,102,26,6,13,32,10,13,31,0.0117578809125883,525090,"C"
"Pau Gasol",1187,793,294,42,146,528,60,164,72,0.0437678751143926,7448760,"C"
